"ID","Price","AccruedInterest","Yield","Term","ModifiedDuration","KeyRateDuration","Convexity"
"2","94.958709000000","0.193151","3.085826","3.4","3.2411","{""KeyRate1Y"": -0.015, ""KeyRate2Y"": -0.034, ""KeyRate3M"": 0.002, ""KeyRate3Y"": 2.063, ""KeyRate4Y"": 1.204, ""KeyRate5Y"": 0.0, ""KeyRate6M"": -0.005, ""KeyRate6Y"": 0.0, ""KeyRate7Y"": 0.0, ""KeyRate8Y"": 0.0, ""KeyRate9Y"": 0.0, ""KeyRate10Y"": 0.0, ""KeyRate15Y"": 0.0, ""KeyRate20Y"": 0.0, ""KeyRate25Y"": 0.0, ""KeyRate30Y"": 0.0}","0.122634"
"2","95.391729000000","0.197260","2.946937","3.4","3.2408","{""KeyRate1Y"": -0.013, ""KeyRate2Y"": -0.031, ""KeyRate3M"": 0.002, ""KeyRate3Y"": 2.069, ""KeyRate4Y"": 1.192, ""KeyRate5Y"": 0.0, ""KeyRate6M"": -0.005, ""KeyRate6Y"": 0.0, ""KeyRate7Y"": 0.0, ""KeyRate8Y"": 0.0, ""KeyRate9Y"": 0.0, ""KeyRate10Y"": 0.0, ""KeyRate15Y"": 0.0, ""KeyRate20Y"": 0.0, ""KeyRate25Y"": 0.0, ""KeyRate30Y"": 0.0}","0.122624"
"2","95.330653000000","0.201370","2.967825","3.4","3.2378","{""KeyRate1Y"": -0.014, ""KeyRate2Y"": -0.032, ""KeyRate3M"": 0.002, ""KeyRate3Y"": 2.091, ""KeyRate4Y"": 1.162, ""KeyRate5Y"": 0.0, ""KeyRate6M"": -0.005, ""KeyRate6Y"": 0.0, ""KeyRate7Y"": 0.0, ""KeyRate8Y"": 0.0, ""KeyRate9Y"": 0.0, ""KeyRate10Y"": 0.0, ""KeyRate15Y"": 0.0, ""KeyRate20Y"": 0.0, ""KeyRate25Y"": 0.0, ""KeyRate30Y"": 0.0}","0.122408"
"2","95.055866000000","0.205480","3.058053","3.4","3.2335","{""KeyRate1Y"": -0.014, ""KeyRate2Y"": -0.034, ""KeyRate3M"": 0.002, ""KeyRate3Y"": 2.099, ""KeyRate4Y"": 1.153, ""KeyRate5Y"": 0.0, ""KeyRate6M"": -0.005, ""KeyRate6Y"": 0.0, ""KeyRate7Y"": 0.0, ""KeyRate8Y"": 0.0, ""KeyRate9Y"": 0.0, ""KeyRate10Y"": 0.0, ""KeyRate15Y"": 0.0, ""KeyRate20Y"": 0.0, ""KeyRate25Y"": 0.0, ""KeyRate30Y"": 0.0}","0.122104"
"2","94.931010000000","0.217808","3.102448","3.4","3.2246","{""KeyRate1Y"": -0.015, ""KeyRate2Y"": -0.035, ""KeyRate3M"": 0.002, ""KeyRate3Y"": 2.107, ""KeyRate4Y"": 1.144, ""KeyRate5Y"": 0.0, ""KeyRate6M"": -0.005, ""KeyRate6Y"": 0.0, ""KeyRate7Y"": 0.0, ""KeyRate8Y"": 0.0, ""KeyRate9Y"": 0.0, ""KeyRate10Y"": 0.0, ""KeyRate15Y"": 0.0, ""KeyRate20Y"": 0.0, ""KeyRate25Y"": 0.0, ""KeyRate30Y"": 0.0}","0.121484"
"2","95.043518000000","0.221918","3.067056","3.4","3.2225","{""KeyRate1Y"": -0.015, ""KeyRate2Y"": -0.034, ""KeyRate3M"": 0.002, ""KeyRate3Y"": 2.114, ""KeyRate4Y"": 1.134, ""KeyRate5Y"": 0.0, ""KeyRate6M"": -0.005, ""KeyRate6Y"": 0.0, ""KeyRate7Y"": 0.0, ""KeyRate8Y"": 0.0, ""KeyRate9Y"": 0.0, ""KeyRate10Y"": 0.0, ""KeyRate15Y"": 0.0, ""KeyRate20Y"": 0.0, ""KeyRate25Y"": 0.0, ""KeyRate30Y"": 0.0}","0.121341"
"2","95.222748000000","0.226027","3.009943","3.4","3.2208","{""KeyRate1Y"": -0.014, ""KeyRate2Y"": -0.033, ""KeyRate3M"": 0.002, ""KeyRate3Y"": 2.121, ""KeyRate4Y"": 1.123, ""KeyRate5Y"": 0.0, ""KeyRate6M"": -0.005, ""KeyRate6Y"": 0.0, ""KeyRate7Y"": 0.0, ""KeyRate8Y"": 0.0, ""KeyRate9Y"": 0.0, ""KeyRate10Y"": 0.0, ""KeyRate15Y"": 0.0, ""KeyRate20Y"": 0.0, ""KeyRate25Y"": 0.0, ""KeyRate30Y"": 0.0}","0.121226"
"2","95.023158000000","0.230137","3.076208","3.3","3.2169","{""KeyRate1Y"": -0.015, ""KeyRate2Y"": -0.034, ""KeyRate3M"": 0.002, ""KeyRate3Y"": 2.143, ""KeyRate4Y"": 1.094, ""KeyRate5Y"": 0.0, ""KeyRate6M"": -0.005, ""KeyRate6Y"": 0.0, ""KeyRate7Y"": 0.0, ""KeyRate8Y"": 0.0, ""KeyRate9Y"": 0.0, ""KeyRate10Y"": 0.0, ""KeyRate15Y"": 0.0, ""KeyRate20Y"": 0.0, ""KeyRate25Y"": 0.0, ""KeyRate30Y"": 0.0}","0.120954"
"2","94.856413000000","0.234247","3.131988","3.3","3.2132","{""KeyRate1Y"": -0.015, ""KeyRate2Y"": -0.035, ""KeyRate3M"": 0.002, ""KeyRate3Y"": 2.15, ""KeyRate4Y"": 1.085, ""KeyRate5Y"": 0.0, ""KeyRate6M"": -0.005, ""KeyRate6Y"": 0.0, ""KeyRate7Y"": 0.0, ""KeyRate8Y"": 0.0, ""KeyRate9Y"": 0.0, ""KeyRate10Y"": 0.0, ""KeyRate15Y"": 0.0, ""KeyRate20Y"": 0.0, ""KeyRate25Y"": 0.0, ""KeyRate30Y"": 0.0}","0.120696"
"2","94.755257000000","0.246575","3.169130","3.3","3.2045","{""KeyRate1Y"": -0.015, ""KeyRate2Y"": -0.036, ""KeyRate3M"": 0.002, ""KeyRate3Y"": 2.157, ""KeyRate4Y"": 1.075, ""KeyRate5Y"": 0.0, ""KeyRate6M"": -0.005, ""KeyRate6Y"": 0.0, ""KeyRate7Y"": 0.0, ""KeyRate8Y"": 0.0, ""KeyRate9Y"": 0.0, ""KeyRate10Y"": 0.0, ""KeyRate15Y"": 0.0, ""KeyRate20Y"": 0.0, ""KeyRate25Y"": 0.0, ""KeyRate30Y"": 0.0}","0.120089"
